"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",32233,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",30595,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",33009,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",32303,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",34561,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",31585,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",34097,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",33850,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",36843,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",35799,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",39532,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",37102,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",41592,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",39620,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",44477,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2008","2008","AUD","Australian Dollar","0","Units","2015","2015",41224,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2008","2008","AUD","Australian Dollar","0","Units","2015","2015",46861,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",43849,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",47466,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",43506,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",46960,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",44464,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",48624,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",44508,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",48967,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",42696,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",46978,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",28988,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",31368,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",30734,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",32092,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",32855,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",33880,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",32895,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",34315,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",34719,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",36476,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",35013,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",37332,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",34907,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",37580,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",36489,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",39329,,
